Misdemeanor Offenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,OFFENSES AGAINST THE PERSON (7)      ,9,24,18,17,9,10,17,27,7,15,12,14,19,12,9,9,14,10
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),142,153,149,111,123,128,107,67,59,68,86,81,82,94,105,82,77,90
,ADMINISTRATIVE CODE (6)            ,63,77,51,52,55,40,36,37,40,66,44,41,37,51,39,53,43,38
,FRAUDS (3)                    ,196,174,47,72,43,22,38,22,30,23,38,58,59,64,61,64,74,54
,AGGRAVATED HARASSMENT 2               ,845,803,821,681,734,745,646,689,671,583,525,497,517,568,500,485,450,339
,OTHER MISDEMEANORS (8),72,94,77,55,75,72,92,95,71,54,49,57,77,75,108,267,313,262
,TOTAL MISDEMEANOR OFFENSES,5059,5063,5163,5006,4758,4896,4976,4806,4798,4894,4433,4295,4163,4178,4047,3665,3636,3446
106,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,16,13,11,13,17,22,12,9,14,7,12,18,18,31,22,13,24,17
,MISDEMEANOR SEX CRIMES (4),43,66,61,48,41,42,56,44,38,57,71,67,49,47,44,36,47,59
,MISDEMEANOR DANGEROUS DRUGS  (1),370,310,459,578,273,242,336,659,625,556,553,536,361,337,207,242,215,194
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,25,19,8,20,24,37,59,51,57,69,35,27,43,35,23,20,40,16
,PETIT LARCENY                         ,1033,1032,1113,1028,996,893,897,952,799,773,693,806,938,777,934,861,831,887
,ASSAULT 3 AND RELATED OFFENSES        ,624,625,601,622,573,660,650,687,593,565,600,612,626,635,635,437,401,441
,INTOXICATED & IMPAIRED DRIVING              ,84,106,162,270,375,198,136,82,60,77,71,61,110,114,100,90,103,79
,VEHICLE AND TRAFFIC LAWS              ,178,132,111,67,77,60,67,56,68,65,87,62,91,86,75,91,91,79
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,727,670,658,623,553,517,714,837,672,611,575,540,510,505,513,456,433,504
,CRIMINAL TRESPASS,47,47,39,35,37,53,61,76,73,48,73,106,133,180,150,154,269,217
,UNAUTHORIZED USE OF A VEHICLE           ,27,46,23,29,23,25,19,15,16,22,27,25,23,26,19,20,35,25
,OFFENSES AGAINST THE PERSON (7)      ,9,10,11,12,13,7,7,6,19,9,21,16,8,26,9,15,11,8
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),96,138,133,99,110,102,116,133,136,79,89,99,109,145,112,81,106,78
,ADMINISTRATIVE CODE (6)            ,33,35,28,31,31,26,17,17,16,14,26,19,24,23,22,20,26,21
,FRAUDS (3)                    ,100,101,25,40,50,48,33,35,27,37,57,53,52,43,53,27,30,18
,AGGRAVATED HARASSMENT 2               ,674,662,578,493,554,540,507,548,432,454,390,382,379,382,323,311,332,284
,OTHER MISDEMEANORS (8),148,118,92,53,105,137,140,130,182,172,209,358,387,514,281,457,428,293
,TOTAL MISDEMEANOR OFFENSES,4234,4130,4113,4061,3852,3609,3827,4337,3827,3615,3589,3787,3861,3906,3522,3331,3422,3220
107,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,12,7,9,18,30,24,35,19,22,27,25,18,12,16,18,5,9,10
,MISDEMEANOR SEX CRIMES (4),42,58,50,40,48,47,56,40,42,59,71,68,58,37,38,40,40,49
,MISDEMEANOR DANGEROUS DRUGS  (1),197,174,107,193,127,161,232,220,191,364,397,455,491,520,401,310,373,330
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,49,37,26,38,29,50,83,38,56,61,68,69,59,43,48,13,29,24
,PETIT LARCENY                         ,1158,1080,1129,1014,1042,877,957,869,947,987,972,849,748,866,799,838,815,742
,ASSAULT 3 AND RELATED OFFENSES        ,566,457,478,425,468,480,502,500,542,520,480,393,424,456,444,330,310,376
,INTOXICATED & IMPAIRED DRIVING              ,29,28,43,63,63,60,60,63,73,97,52,47,71,103,126,81,51,118
,VEHICLE AND TRAFFIC LAWS              ,86,105,88,71,74,69,74,59,62,43,57,71,62,49,45,52,56,55
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,684,726,641,564,532,566,736,778,669,630,664,509,513,505,518,495,512,576
,CRIMINAL TRESPASS,111,97,60,94,110,134,105,90,148,151,174,141,116,125,84,59,53,83
,UNAUTHORIZED USE OF A VEHICLE           ,17,20,19,14,19,11,19,16,7,15,14,18,11,18,28,18,34,31
,OFFENSES AGAINST THE PERSON (7)      ,6,8,10,2,13,12,21,9,8,7,11,7,7,9,5,10,10,10
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),83,101,100,79,72,58,101,85,88,107,79,81,114,111,67,90,74,70
,ADMINISTRATIVE CODE (6)            ,19,15,10,14,10,10,12,9,9,5,10,8,9,5,5,7,5,3
,FRAUDS (3)                    ,98,112,-2,37,26,28,42,19,16,26,16,18,24,33,48,44,29,33
,AGGRAVATED HARASSMENT 2               ,543,525,549,494,480,423,420,453,469,440,366,335,295,303,252,240,229,225
,OTHER MISDEMEANORS (8),148,143,114,122,147,139,124,107,135,220,227,257,244,283,265,346,205,282
,TOTAL MISDEMEANOR OFFENSES,3848,3693,3431,3282,3290,3149,3579,3374,3484,3759,3683,3344,3258,3482,3191,2978,2834,3017
108,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,7,11,13,15,19,7,14,15,16,21,24,37,27,17,10,4,3,8
,MISDEMEANOR SEX CRIMES (4),47,59,57,54,46,60,56,75,87,89,78,87,75,66,76,68,52,67
,MISDEMEANOR DANGEROUS DRUGS  (1),141,206,555,149,148,171,212,242,198,125,243,287,172,124,128,125,127,156
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,29,25,20,34,24,28,41,39,40,29,47,63,53,48,47,42,28,30
,PETIT LARCENY                         ,1181,1135,1077,992,991,889,1023,979,1047,920,929,820,840,997,839,729,708,773
,ASSAULT 3 AND RELATED OFFENSES        ,525,577,525,420,519,462,519,524,487,514,550,475,507,544,508,454,414,480
,INTOXICATED & IMPAIRED DRIVING              ,84,98,88,103,124,136,238,183,157,161,147,134,129,136,173,131,117,103
,VEHICLE AND TRAFFIC LAWS              ,160,107,121,109,93,90,78,63,71,76,82,81,70,88,87,95,97,74
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,702,690,547,575,523,500,593,730,744,775,744,695,491,550,553,522,495,512
,CRIMINAL TRESPASS,102,106,91,56,36,76,82,119,109,106,180,165,90,118,137,97,98,122
,UNAUTHORIZED USE OF A VEHICLE           ,46,45,36,25,20,12,18,18,15,10,12,11,16,16,19,13,29,35
,OFFENSES AGAINST THE PERSON (7)      ,13,12,3,7,8,11,5,12,15,5,10,13,14,16,24,23,13,20
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),59,88,58,65,38,65,53,85,101,83,80,81,39,57,47,47,52,38
,ADMINISTRATIVE CODE (6)            ,4,8,11,10,7,15,8,10,5,7,16,7,6,9,10,6,5,9
,FRAUDS (3)                    ,73,88,77,58,35,20,33,32,40,24,32,32,35,43,37,30,52,33
,AGGRAVATED HARASSMENT 2               ,415,393,343,327,340,318,303,297,312,299,313,317,290,332,154,141,123,108
,OTHER MISDEMEANORS (8),670,489,170,254,382,298,148,235,204,182,171,185,236,433,353,304,251,200
,TOTAL MISDEMEANOR OFFENSES,4258,4137,3792,3253,3353,3158,3424,3658,3648,3426,3658,3490,3090,3594,3202,2831,2664,2768
109,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,9,22,14,20,35,48,38,24,9,12,23,25,37,36,17,16,7,12
,MISDEMEANOR SEX CRIMES (4),59,65,49,54,73,52,83,50,51,64,67,80,59,66,50,94,70,81
,MISDEMEANOR DANGEROUS DRUGS  (1),350,379,357,736,357,655,509,282,369,417,599,849,645,554,439,390,245,221
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,46,44,26,47,51,66,105,43,33,55,63,102,59,32,25,20,15,25
,PETIT LARCENY                         ,1820,1807,1778,1945,1811,1619,1609,1852,1555,1760,1571,1692,1469,1539,1774,1872,1876,1936
,ASSAULT 3 AND RELATED OFFENSES        ,698,758,709,622,652,628,721,671,720,667,797,764,783,820,883,621,665,743
,INTOXICATED & IMPAIRED DRIVING              ,80,88,80,119,201,177,145,186,235,202,192,162,165,182,130,124,94,106
,VEHICLE AND TRAFFIC LAWS              ,153,126,117,103,99,105,72,76,65,113,71,87,66,91,83,90,104,104
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,734,706,620,700,625,639,673,850,727,839,642,603,621,578,562,560,596,557
,CRIMINAL TRESPASS,104,75,139,164,71,113,142,83,106,164,137,204,242,248,185,110,74,103
,UNAUTHORIZED USE OF A VEHICLE           ,34,76,70,41,49,31,31,39,37,25,28,29,35,43,39,23,47,28
,OFFENSES AGAINST THE PERSON (7)      ,12,21,9,7,14,12,7,21,7,15,11,12,17,7,16,8,10,8
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),116,87,114,105,62,79,97,84,83,80,79,78,65,40,29,32,43,40
,ADMINISTRATIVE CODE (6)            ,27,20,19,9,12,10,16,15,14,9,11,18,27,16,13,16,15,8
,FRAUDS (3)                    ,137,134,146,82,73,53,45,41,51,66,49,58,52,40,35,50,66,43
,AGGRAVATED HARASSMENT 2               ,763,786,755,602,580,510,533,552,521,554,452,420,447,451,271,322,243,369
,OTHER MISDEMEANORS (8),277,378,357,398,489,291,305,297,359,282,294,307,300,351,350,467,397,377
,TOTAL MISDEMEANOR OFFENSES,5419,5572,5359,5754,5254,5088,5131,5166,4942,5324,5086,5490,5089,5094,4901,4815,4567,4761
110,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,19,10,10,33,13,27,12,22,13,14,27,28,38,46,13,20,17,13
,MISDEMEANOR SEX CRIMES (4),84,88,65,72,72,78,83,84,66,94,91,85,81,93,86,90,96,96
,MISDEMEANOR DANGEROUS DRUGS  (1),1229,985,1399,719,328,385,525,452,523,484,490,405,407,601,596,500,320,331
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,78,101,93,75,85,94,120,145,119,106,135,108,124,185,121,114,121,72
,PETIT LARCENY                         ,1139,1205,1252,1232,1360,1332,1567,1611,1682,1541,1828,1669,1560,1721,1907,1802,1648,1555
,ASSAULT 3 AND RELATED OFFENSES        ,799,736,700,674,639,709,721,713,677,630,712,762,783,797,870,669,659,766
,INTOXICATED & IMPAIRED DRIVING              ,95,109,113,125,162,122,82,104,112,91,76,72,100,86,86,94,72,65
,VEHICLE AND TRAFFIC LAWS              ,140,122,134,80,73,74,72,54,70,80,80,70,85,94,92,70,92,75
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,671,747,548,474,491,462,495,539,443,477,467,408,434,357,402,508,480,482
,CRIMINAL TRESPASS,198,165,195,248,152,201,163,151,148,204,164,199,280,229,226,276,166,125
,UNAUTHORIZED USE OF A VEHICLE           ,18,17,21,22,20,26,13,20,9,16,15,10,25,22,13,12,17,7
,OFFENSES AGAINST THE PERSON (7)      ,18,14,14,6,13,23,21,18,12,11,9,10,11,29,20,29,20,15
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),101,101,112,89,79,78,73,126,107,106,103,80,127,127,98,129,99,72
,ADMINISTRATIVE CODE (6)            ,20,26,18,12,12,14,12,10,10,15,8,11,18,15,10,15,9,5
,FRAUDS (3)                    ,148,176,64,41,47,30,36,32,59,39,53,27,33,53,47,59,36,27
,AGGRAVATED HARASSMENT 2               ,471,456,421,371,351,350,393,341,342,304,277,292,245,313,165,97,134,121
,OTHER MISDEMEANORS (8),765,479,335,540,557,609,472,511,522,521,446,416,405,374,412,543,457,309
,TOTAL MISDEMEANOR OFFENSES,5993,5537,5494,4813,4454,4614,4860,4933,4914,4733,4981,4652,4756,5142,5164,5027,4443,4136
111,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,5,8,13,7,12,7,9,9,7,9,17,21,36,9,5,5,8,5
,MISDEMEANOR SEX CRIMES (4),31,33,26,25,24,27,25,15,21,18,24,18,17,32,11,18,17,23
,MISDEMEANOR DANGEROUS DRUGS  (1),70,122,55,198,170,273,143,155,204,176,261,227,181,119,133,122,114,100
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,8,17,22,31,42,43,44,45,39,52,53,56,51,38,38,18,28,21
,PETIT LARCENY                         ,694,783,752,752,764,574,619,661,518,597,447,422,456,455,463,391,517,360
,ASSAULT 3 AND RELATED OFFENSES        ,314,290,257,210,254,254,272,234,228,193,196,203,180,176,148,132,176,151
,INTOXICATED & IMPAIRED DRIVING              ,33,41,79,109,101,92,109,61,60,62,68,90,93,93,80,100,88,80
,VEHICLE AND TRAFFIC LAWS              ,78,88,57,50,54,43,44,42,41,36,28,47,45,43,28,30,39,43
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,570,389,485,527,513,425,460,604,463,463,405,328,317,293,305,298,218,233
,CRIMINAL TRESPASS,40,30,51,43,37,59,68,61,60,29,35,56,29,14,16,15,12,29
,UNAUTHORIZED USE OF A VEHICLE           ,4,8,16,9,6,5,9,7,10,9,11,5,10,9,16,18,22,13
,OFFENSES AGAINST THE PERSON (7)      ,3,15,5,5,10,10,10,4,10,8,7,4,7,10,10,6,3,8
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),53,42,52,48,35,54,55,43,40,44,31,52,29,28,29,51,31,36
,ADMINISTRATIVE CODE (6)            ,5,4,8,4,2,1,0,1,3,5,1,8,4,4,2,4,1,6
,FRAUDS (3)                    ,100,92,71,59,50,17,15,25,14,26,24,45,36,18,17,24,32,34
,AGGRAVATED HARASSMENT 2               ,406,458,394,370,369,346,313,301,242,267,246,225,189,226,138,152,84,85
,OTHER MISDEMEANORS (8),56,59,48,37,55,47,37,40,32,29,63,52,44,70,34,57,45,69
,TOTAL MISDEMEANOR OFFENSES,2470,2479,2391,2484,2498,2277,2232,2308,1992,2023,1917,1859,1724,1637,1473,1441,1435,1296
112,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,7,5,17,21,7,20,11,5,4,12,31,60,63,61,14,7,6,3
,MISDEMEANOR SEX CRIMES (4),29,31,35,25,27,33,36,23,25,36,25,26,26,25,23,20,31,38
,MISDEMEANOR DANGEROUS DRUGS  (1),28,46,48,63,83,153,177,184,152,258,227,225,182,108,78,56,80,32
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,15,10,12,15,21,17,22,23,22,19,21,19,21,15,23,12,11,6
,PETIT LARCENY                         ,1225,1283,1169,1039,1082,1031,836,959,841,686,1000,1089,1020,1162,1151,989,814,903
,ASSAULT 3 AND RELATED OFFENSES        ,301,269,274,257,307,282,260,259,233,220,235,207,258,212,239,201,164,206
,INTOXICATED & IMPAIRED DRIVING              ,58,57,58,51,91,98,103,61,84,70,45,32,31,33,35,52,50,41
,VEHICLE AND TRAFFIC LAWS              ,88,85,75,48,73,77,47,53,56,51,52,50,47,35,85,193,179,93
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,635,597,513,446,431,404,360,529,377,345,389,335,353,300,385,287,324,402
,CRIMINAL TRESPASS,31,30,39,52,51,34,37,46,51,22,34,41,33,54,33,26,24,18
,UNAUTHORIZED USE OF A VEHICLE           ,10,9,3,9,14,6,5,9,6,7,12,8,8,7,3,8,11,9
,OFFENSES AGAINST THE PERSON (7)      ,5,7,8,7,9,9,6,5,4,4,2,5,2,7,5,7,8,11
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),54,44,73,39,41,50,46,34,31,49,52,34,47,51,46,33,44,30
,ADMINISTRATIVE CODE (6)            ,5,7,5,4,8,10,7,5,2,2,4,4,6,0,4,2,0,1
,FRAUDS (3)                    ,144,109,68,59,39,45,26,20,19,11,8,13,23,29,35,36,25,25
,AGGRAVATED HARASSMENT 2               ,469,425,412,301,311,305,256,259,240,238,190,195,223,207,137,140,72,71
,OTHER MISDEMEANORS (8),336,307,208,139,130,160,154,107,115,277,318,274,235,268,358,345,226,140
,TOTAL MISDEMEANOR OFFENSES,3440,3321,3017,2575,2725,2734,2389,2581,2262,2307,2645,2617,2578,2574,2654,2414,2069,2029
113,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,32,38,27,45,47,34,32,44,23,30,56,43,33,36,29,22,18,10
,MISDEMEANOR SEX CRIMES (4),60,70,74,75,62,66,78,62,74,95,87,77,73,64,90,61,67,79
,MISDEMEANOR DANGEROUS DRUGS  (1),1716,1361,1383,1289,873,1051,1033,1095,1217,1225,1208,1215,905,831,964,437,400,458
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,58,85,51,87,152,189,134,197,170,239,238,197,216,193,177,165,155,147
,PETIT LARCENY                         ,1693,1442,1171,1214,1121,1229,1340,1317,1281,1152,1102,1168,1143,1034,1019,959,936,846
,ASSAULT 3 AND RELATED OFFENSES        ,785,811,697,567,659,697,835,966,983,972,969,888,915,1050,974,749,673,675
,INTOXICATED & IMPAIRED DRIVING              ,61,60,41,53,71,65,31,59,72,72,47,72,130,178,179,140,132,55
,VEHICLE AND TRAFFIC LAWS              ,126,135,114,91,92,93,84,120,134,377,637,750,502,517,723,834,819,658
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,741,674,744,622,673,725,881,861,852,715,729,598,584,565,520,464,475,468
,CRIMINAL TRESPASS,276,279,166,181,158,214,271,411,894,723,389,519,683,269,226,215,232,138
,UNAUTHORIZED USE OF A VEHICLE           ,94,107,87,80,50,59,61,81,66,63,69,73,105,72,89,142,123,65
,OFFENSES AGAINST THE PERSON (7)      ,11,19,13,9,12,6,12,15,28,36,21,14,30,28,35,26,24,12
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),147,158,129,71,92,94,129,143,176,152,137,52,94,123,132,109,134,128
,ADMINISTRATIVE CODE (6)            ,57,34,48,24,30,30,39,51,58,45,40,34,59,51,40,34,26,34
,FRAUDS (3)                    ,93,75,53,43,28,34,30,36,37,70,52,59,72,55,72,55,59,65
,AGGRAVATED HARASSMENT 2               ,452,414,363,289,315,346,451,494,502,471,463,384,391,403,321,348,363,344
,OTHER MISDEMEANORS (8),110,149,106,114,183,224,108,134,281,221,239,237,157,139,179,376,474,413
,TOTAL MISDEMEANOR OFFENSES,6512,5911,5267,4854,4618,5156,5549,6086,6848,6658,6483,6380,6092,5608,5769,5136,5110,4595
114,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,10,13,26,18,32,26,23,51,55,31,58,52,30,35,9,14,11,8
,MISDEMEANOR SEX CRIMES (4),84,110,89,86,70,58,101,86,64,77,94,132,96,85,88,81,67,109
,MISDEMEANOR DANGEROUS DRUGS  (1),1503,1106,1396,1576,762,710,857,1220,1011,959,951,951,907,921,962,608,643,707
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,35,66,56,67,79,93,137,170,105,123,116,81,80,102,121,57,37,49
,PETIT LARCENY                         ,1958,1999,2128,1529,1659,1646,1826,1813,1635,1338,1488,1545,1668,1645,1674,1670,1649,1571
,ASSAULT 3 AND RELATED OFFENSES        ,973,989,1016,824,910,968,1074,962,876,908,966,911,990,1076,1061,895,935,854
,INTOXICATED & IMPAIRED DRIVING              ,71,52,72,124,128,168,145,123,107,91,87,110,141,179,198,182,213,134
,VEHICLE AND TRAFFIC LAWS              ,171,145,100,87,61,61,76,52,70,67,74,79,91,88,100,112,125,115
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,929,990,923,728,793,815,893,1052,955,902,887,821,735,752,777,751,793,813
,CRIMINAL TRESPASS,409,391,336,400,176,216,387,559,339,252,269,268,207,201,234,203,216,135
,UNAUTHORIZED USE OF A VEHICLE           ,38,46,31,22,29,27,28,36,29,29,24,17,29,30,47,36,39,50
,OFFENSES AGAINST THE PERSON (7)      ,19,15,9,7,12,17,22,31,11,21,8,22,8,19,19,20,37,34
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),162,201,134,109,115,138,129,188,154,179,157,172,144,174,158,121,97,74
,ADMINISTRATIVE CODE (6)            ,19,18,9,4,10,12,12,14,9,9,10,9,15,9,12,11,8,8
,FRAUDS (3)                    ,122,164,114,69,64,65,67,68,59,71,42,32,50,60,65,49,44,33
,AGGRAVATED HARASSMENT 2               ,825,807,841,586,693,670,662,661,553,526,523,511,533,513,431,462,499,519
,OTHER MISDEMEANORS (8),542,450,307,278,354,234,279,379,339,245,295,247,332,299,367,449,463,369
,TOTAL MISDEMEANOR OFFENSES,7870,7562,7587,6514,5947,5924,6718,7465,6371,5828,6049,5960,6056,6188,6323,5721,5876,5582
115,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,13,15,18,19,26,25,29,27,38,66,49,67,58,49,24,15,6,21
,MISDEMEANOR SEX CRIMES (4),74,93,69,87,78,88,140,98,108,95,138,157,113,103,85,97,129,154
,MISDEMEANOR DANGEROUS DRUGS  (1),1020,751,1118,868,752,733,952,936,1001,1019,858,910,739,798,881,369,409,331
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,65,85,68,116,166,193,181,217,192,215,223,278,197,224,252,198,227,187
,PETIT LARCENY                         ,1668,1562,1560,1187,1255,1135,1025,1114,1135,1116,1136,1086,913,1077,1134,1004,933,1106
,ASSAULT 3 AND RELATED OFFENSES        ,985,958,848,708,774,765,946,919,863,995,1028,1062,1046,1051,1155,944,964,965
,INTOXICATED & IMPAIRED DRIVING              ,174,187,159,128,223,234,217,236,231,203,193,197,184,261,281,206,189,158
,VEHICLE AND TRAFFIC LAWS              ,124,103,112,101,77,70,120,159,168,106,77,92,90,112,107,124,130,110
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,770,915,748,574,585,590,634,693,600,612,641,531,480,452,567,462,415,550
,CRIMINAL TRESPASS,123,93,75,121,120,101,163,186,237,242,295,268,249,341,311,245,135,119
,UNAUTHORIZED USE OF A VEHICLE           ,48,61,30,26,16,30,42,39,45,53,64,79,82,65,107,109,184,144
,OFFENSES AGAINST THE PERSON (7)      ,14,15,14,12,15,13,12,12,13,25,15,15,17,21,20,28,20,27
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),116,139,131,105,82,127,171,162,128,166,223,170,154,182,148,139,106,117
,ADMINISTRATIVE CODE (6)            ,39,35,23,18,11,19,23,16,18,10,23,17,9,15,15,13,23,16
,FRAUDS (3)                    ,56,89,89,69,46,82,46,77,83,119,106,82,84,121,82,107,77,79
,AGGRAVATED HARASSMENT 2               ,647,582,544,453,421,507,518,503,464,482,495,412,347,436,237,321,304,235
,OTHER MISDEMEANORS (8),980,775,679,495,484,346,378,385,506,432,483,546,538,669,652,665,584,470
,TOTAL MISDEMEANOR OFFENSES,6916,6458,6285,5087,5131,5058,5597,5779,5830,5956,6047,5969,5300,5977,6058,5046,4835,4789
120,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,16,25,42,54,46,51,47,16,28,25,41,56,49,32,12,14,22,18
,MISDEMEANOR SEX CRIMES (4),104,93,81,93,85,107,120,99,63,96,74,90,80,49,55,61,55,79
,MISDEMEANOR DANGEROUS DRUGS  (1),1922,1404,1561,1560,1078,1177,1352,1674,2347,1726,1995,2173,1585,980,707,447,756,715
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,54,113,158,139,130,160,205,183,201,223,247,221,166,83,51,48,62,54
,PETIT LARCENY                         ,1404,1389,1670,1370,1365,1500,1543,1381,1579,1585,1505,1460,1546,1326,995,974,1029,910
,ASSAULT 3 AND RELATED OFFENSES        ,1205,1216,1151,1169,1230,1395,1486,1236,1298,1320,1396,1358,1652,1232,1012,724,753,710
,INTOXICATED & IMPAIRED DRIVING              ,182,160,163,132,124,182,157,177,178,191,174,204,200,165,114,182,202,172
,VEHICLE AND TRAFFIC LAWS              ,426,463,100,54,86,65,50,60,63,62,53,68,62,68,55,52,52,41
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,1126,1170,1358,1336,1455,1337,1858,1699,1853,1481,1300,1186,1244,970,741,847,861,848
,CRIMINAL TRESPASS,467,321,265,272,266,309,289,227,445,342,452,278,324,195,149,85,79,141
,UNAUTHORIZED USE OF A VEHICLE           ,29,49,60,27,66,67,81,74,43,38,49,69,66,54,54,46,30,19
,OFFENSES AGAINST THE PERSON (7)      ,15,16,11,7,15,17,25,24,15,18,29,27,26,28,23,20,13,26
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),343,359,380,345,372,329,382,420,438,465,486,451,511,401,363,317,289,269
,ADMINISTRATIVE CODE (6)            ,32,34,25,15,20,32,25,20,32,35,47,43,32,30,23,16,24,17
,FRAUDS (3)                    ,158,173,124,42,106,99,131,135,133,162,180,187,159,87,108,81,77,79
,AGGRAVATED HARASSMENT 2               ,939,896,797,633,823,864,923,835,865,806,885,758,697,624,427,458,441,409
,OTHER MISDEMEANORS (8),89,144,107,135,160,139,130,147,182,200,122,166,202,138,128,352,409,319
,TOTAL MISDEMEANOR OFFENSES,8511,8025,8053,7383,7427,7830,8804,8407,9763,8775,9035,8795,8601,6462,5017,4724,5154,4826
121,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,,,,,,,,,,,,,,16,33,13,12,7
,MISDEMEANOR SEX CRIMES (4),,,,,,,,,,,,,,14,47,44,38,43
,MISDEMEANOR DANGEROUS DRUGS  (1),,,,,,,,,,,,,,331,865,421,385,266
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,,,,,,,,,,,,,,42,119,69,44,16
,PETIT LARCENY                         ,,,,,,,,,,,,,,749,1531,1324,1298,1289
,ASSAULT 3 AND RELATED OFFENSES        ,,,,,,,,,,,,,,293,637,490,436,474
,INTOXICATED & IMPAIRED DRIVING              ,,,,,,,,,,,,,,131,253,265,275,308
,VEHICLE AND TRAFFIC LAWS              ,,,,,,,,,,,,,,23,38,51,69,55
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,,,,,,,,,,,,,,271,567,609,443,532
,CRIMINAL TRESPASS,,,,,,,,,,,,,,44,96,51,47,38
,UNAUTHORIZED USE OF A VEHICLE           ,,,,,,,,,,,,,,13,23,39,45,26
,OFFENSES AGAINST THE PERSON (7)      ,,,,,,,,,,,,,,7,13,18,18,9
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),,,,,,,,,,,,,,99,166,178,173,169
,ADMINISTRATIVE CODE (6)            ,,,,,,,,,,,,,,11,12,12,18,14
,FRAUDS (3)                    ,,,,,,,,,,,,,,25,81,108,121,84
,AGGRAVATED HARASSMENT 2               ,,,,,,,,,,,,,,215,406,427,446,414
,OTHER MISDEMEANORS (8),,,,,,,,,,,,,,41,155,295,283,188
,TOTAL MISDEMEANOR OFFENSES,,,,,,,,,,,,,,2325,5042,4414,4151,3932
122,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,10,17,23,27,31,42,107,47,17,52,62,62,33,19,15,9,12,9
,MISDEMEANOR SEX CRIMES (4),47,48,44,56,47,68,47,56,40,41,34,40,46,34,22,39,46,44
,MISDEMEANOR DANGEROUS DRUGS  (1),586,465,689,473,314,254,313,310,785,500,575,621,667,511,445,228,223,198
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,30,32,30,47,45,44,69,74,89,64,85,83,80,66,41,23,21,22
,PETIT LARCENY                         ,1732,1663,1826,1547,1673,1551,1774,1603,1942,1781,1703,1461,1596,1256,827,714,686,760
,ASSAULT 3 AND RELATED OFFENSES        ,793,613,691,738,751,818,753,803,729,652,602,607,697,513,407,341,403,333
,INTOXICATED & IMPAIRED DRIVING              ,219,262,342,385,521,469,452,304,247,216,239,301,239,279,150,132,166,123
,VEHICLE AND TRAFFIC LAWS              ,340,342,174,103,99,91,71,58,63,52,67,67,77,45,49,53,49,49
